State,Station,Max Temp (°C),Min Temp (°C)
Andaman and Nicobar,Car-Nicobar,38.1,10.9
Andaman and Nicobar,Hut Bay,39.4,0.2
Andaman and Nicobar,Kondul,47.2,14.0
Andaman and Nicobar,Long Island,43.1,14.6
Andaman and Nicobar,Mayabandar,39.0,14.0
Andaman and Nicobar,Nancowry,39.2,13.9
Andaman and Nicobar,Port Blair,36.4,14.6
Andhra Pradesh,Anantapur,44.1,9.4
Andhra Pradesh,Arogyavaram,40.6,8.0
Andhra Pradesh,Bapatla,47.4,11.1
Andhra Pradesh,Cuddapah,46.1,10.0
Andhra Pradesh,Visakhapatnam (Dolphine Nose),42.8,14.1
Andhra Pradesh,Visakhapatnam (RS/RW),42.0,15.8
Andhra Pradesh,Visakhapatnam,45.4,10.5
Andhra Pradesh,Gannavaram,48.8,8.5
Andhra Pradesh,Kakinada,47.2,12.0
Andhra Pradesh,Kalingapatanam,46.2,10.3
Andhra Pradesh,Kavali,47.2,16.4
Andhra Pradesh,Kurnool,45.6,6.7
Andhra Pradesh,Masulipatnam,47.8,13.2
Andhra Pradesh,Nandigama,47.1,9.3
Andhra Pradesh,Nandyal,48.2,9.2
Andhra Pradesh,Narsapur,46.1,14.6
Andhra Pradesh,Nellore,46.7,11.1
Andhra Pradesh,Nidadavolu,48.9,11.4
Andhra Pradesh,Ongole,47.4,14.0
Andhra Pradesh,Rentachintala,49.9,9.4
Andhra Pradesh,Tirupathy,45.2,12.9
Andhra Pradesh,Tuni,47.5,13.9
Andhra Pradesh,Vijayawada,47.2,15.0
Arunachal Pradesh,Pasighat,38.8,6.0
Assam,Dhubri,41.3,2.4
Assam,Dibrugarh,39.8,1.0
Assam,Guwahati,40.3,3.0
Assam,North Lakhimpur,39.0,2.7
Assam,Rangia,39.4,6.0
Assam,Silchar,39.4,5.0
Assam,Tezpur,45.7,5.6
Bihar,Bhagalpur,46.6,3.8
Bihar,Chaibasa,46.7,4.4
Bihar,Chapra,46.6,2.4
Bihar,Daltonganj,48.8,0.0
Bihar,Darbhanga,44.1,0.0
Bihar,Dehri,49.5,-1.0
Bihar,Dumka,48.5,1.9
Bihar,Gaya,49.0,1.2
Bihar,Hazaribagh,46.6,0.5
Bihar,Jamshedpur (City),47.7,3.9
Bihar,Jamshedpur (Airport),46.6,4.4
Bihar,Motihari,44.4,0.0
Bihar,Muzaffarpur,44.5,2.2
Bihar,Patna,46.6,1.4
Bihar,Purnea,43.9,-0.2
Bihar,Ranchi,43.4,0.6
Bihar,Sabaur,46.1,0.6
Chattisgarh,Ambikapur,44.9,0.9
Chattisgarh,Bailaldila,39.4,4.6
Chattisgarh,Jagdalpur,46.1,2.8
Chattisgarh,Raipur,47.9,3.9
Daman and Diu,Diu,44.0,5.0
Goa,Dabolim,38.2,13.6
Goa,Marmugao,38.4,12.2
Goa,Panjim,39.8,3.4
Gujarat,Ahmedabad,47.8,2.2
Gujarat,Amreli,46.2,1.6
Gujarat,Valsad,43.1,5.8
Gujarat,Baroda (City),46.7,-1.1
Gujarat,Baroda (Airport),46.2,2.8
Gujarat,Bhavnagar,47.3,0.6
Gujarat,Bhuj,47.8,-0.2
Gujarat,Deesa,49.4,2.0
Gujarat,Dohad,47.0,0.0
Gujarat,Dwarka,42.7,6.1
Gujarat,Idar,48.5,4.8
Gujarat,Keshod,45.5,3.6
